Побег из Шоушенка;д ;Морган Фриман
Зеленая миля;д ;Том Хэнкс
Форрест Гамп;д ;Том Хэнкс
Брюс Всемогущий;фа к д;Морган Фриман,Джим Керри
Эван Всемогущий;к ;Морган Фриман,Стив Карелл
Бен-Гур;и д;Морган Фриман,Джек Хьюстон,Тоби Кеббел
Бойцовский клуб;т д кр;Эдвард Нортон,Брэд Питт,Хелена Бонем Картер
Крестный отец;д кр;Аль Пачино
Криминальное чтиво;т к кр;Джон Траволта,Сэмюэл Л. Джексон,Брюс Уиллис,Ума Турман
Игры разума;д б м;Рассел Кроу,Эд Харрис
Интерстеллар;фа д п;Мэттью МакКонахи,Энн Хэтэуэй,Джессика Честейн,Майкл Кейн
Престиж;фа т д де;Хью Джекман,Кристиан Бэйл,Майкл Кейн
Поймай меня, если сможешь;кр к б;Леонардо ДиКаприо,Том Хэнкс
Остров проклятых;т д де;Леонардо ДиКаприо,Марк Руффало,Бен Кингсли
Темный рыцарь;фа б т кр д;Кристиан Бэйл,Хит Леджер,Майкл Кен,Морган Фриман
Титаник;д м т;Леонардо ДиКаприо,Кейт Уинслет
Семь;т д кр де;Брэд Питт,Морган Фриман,Кевин Спейси
Шоу Трумана;фа д к;Джим Керри
